Distance Filtered from Genes	PAR1	nonPAR	XTR	PAR2
No Flanking	0.00167205	0.000649257	0.000829956	0.000609337
10kb	0.001557312	0.000622464	0.000838738	0.000726148
25kb	0.001529435	0.000626882	0.000848146	0.000767864
50kb	0.001501356	0.000629337	0.000872624	0.000537926
